Potential (V),Baseline current (A)
-0.00269,-0.2975
-0.00537,-0.2975
-0.00806,-0.29925
-0.01074,-0.301
-0.01343,-0.29925
-0.01612,-0.301
-0.0188,-0.301
-0.02149,-0.301
-0.02418,-0.301
-0.02686,-0.29925
-0.02955,-0.29925
-0.03223,-0.2975
-0.03492,-0.2975
-0.03761,-0.29925
-0.04029,-0.2975
-0.04298,-0.301
-0.04567,-0.301
-0.04835,-0.29925
-0.05104,-0.301
-0.05372,-0.29925
-0.05641,-0.301
-0.0591,-0.29925
-0.06178,-0.29925
-0.06447,-0.29925
-0.06716,-0.2975
-0.06984,-0.2975
-0.07253,-0.29925
-0.07521,-0.29925
-0.0779,-0.301
-0.08059,-0.301
-0.08327,-0.30275
-0.08596,-0.3045
-0.08864,-0.30275
-0.09133,-0.3045
-0.09402,-0.3045
-0.0967,-0.3045
-0.09939,-0.3045
-0.10208,-0.3045
-0.10476,-0.30625
-0.10745,-0.30975
-0.11013,-0.30975
-0.11282,-0.31325
-0.11551,-0.315
-0.11819,-0.31675
-0.12088,-0.3185
-0.12357,-0.3185
-0.12625,-0.32025
-0.12894,-0.32375
-0.13162,-0.32375
-0.13431,-0.3255
-0.137,-0.3255
-0.13968,-0.33075
-0.14237,-0.33425
-0.14505,-0.33775
-0.14774,-0.34125
-0.15043,-0.34475
-0.15311,-0.34825
-0.1558,-0.3535
-0.15849,-0.35525
-0.16117,-0.3605
-0.16386,-0.36575
-0.16654,-0.36925
-0.16923,-0.37275
-0.17192,-0.378
-0.1746,-0.385
-0.17729,-0.392
-0.17998,-0.399
-0.18266,-0.40775
-0.18535,-0.41475
-0.18803,-0.42175
-0.19072,-0.43225
-0.19341,-0.43925
-0.19609,-0.44975
-0.19878,-0.31937
-0.19609,-0.21
-0.19341,-0.1785
-0.19072,-0.14
-0.18803,-0.11375
-0.18535,-0.091
-0.18266,-0.0735
-0.17998,-0.0595
-0.17729,-0.0455
-0.1746,-0.035
-0.17192,-0.028
-0.16923,-0.0175
-0.16654,-0.0105
-0.16386,-0.0035
-0.16117,0.0035
-0.15849,0.007
-0.1558,0.014
-0.15311,0.01925
-0.15043,0.02275
-0.14774,0.02625
-0.14505,0.02975
-0.14237,0.03325
-0.13968,0.035
-0.137,0.0385
-0.13431,0.04375
-0.13162,0.04725
-0.12894,0.05075
-0.12625,0.05425
-0.12357,0.056
-0.12088,0.06125
-0.11819,0.063
-0.11551,0.06475
-0.11282,0.06825
-0.11013,0.07
-0.10745,0.0735
-0.10476,0.0735
-0.10208,0.077
-0.09939,0.0805
-0.0967,0.08225
-0.09402,0.0875
-0.09133,0.08925
-0.08864,0.09275
-0.08596,0.09625
-0.08327,0.09625
-0.08059,0.09975
-0.0779,0.103249
-0.07521,0.104999
-0.07253,0.106749
-0.06984,0.108499
-0.06716,0.111999
-0.06447,0.115499
-0.06178,0.118999
-0.0591,0.122499
-0.05641,0.125999
-0.05372,0.129499
-0.05104,0.132999
-0.04835,0.136499
-0.04567,0.139999
-0.04298,0.141749
-0.04029,0.145249
-0.03761,0.148749
-0.03492,0.150499
-0.03223,0.155749
-0.02955,0.160999
-0.02686,0.164499
-0.02418,0.171499
-0.02149,0.174999
-0.0188,0.180249
-0.01612,0.187249
-0.01343,0.190749
-0.01074,0.195999
-0.00806,0.201249
-0.00537,0.206499
-0.00269,0.211749
0,0.216999
0.002686,0.223999
0.005372,0.232748
0.008059,0.239748
0.010745,0.248498
0.013431,0.253748
0.016117,0.260748
0.018803,0.269498
0.02149,0.274748
0.024176,0.281748
0.026862,0.288748
0.029548,0.295748
0.032234,0.300998
0.034921,0.306248
0.037607,0.314998
0.040293,0.320248
0.042979,0.327248
0.045665,0.332498
0.048352,0.337748
0.051038,0.342998
0.053724,0.348248
0.05641,0.351748
0.059097,0.356998
0.061783,0.360498
0.064469,0.362248
0.067155,0.367498
0.069841,0.370998
0.072528,0.376248
0.075214,0.381498
0.0779,0.384998
0.080586,0.391998
0.083272,0.395498
0.085959,0.400748
0.088645,0.405998
0.091331,0.407748
0.094017,0.412998
0.096703,0.418248
0.09939,0.419998
0.102075,0.426998
0.104761,0.432248
0.107448,0.439248
0.110134,0.444498
0.11282,0.449747
0.115506,0.456747
0.118192,0.461997
0.120879,0.468997
0.123565,0.475997
0.126251,0.479497
0.128937,0.488247
0.131623,0.491747
0.13431,0.496997
0.136996,0.503997
0.139682,0.510997
0.142368,0.517997
0.145054,0.526747
0.147741,0.533747
0.150427,0.540747
0.153113,0.547747
0.155799,0.558247
0.158485,0.565247
0.161172,0.572247
0.163858,0.580997
0.166544,0.587997
0.16923,0.596747
0.171916,0.605497
0.174603,0.615997
0.177289,0.626497
0.179975,0.636997
0.182661,0.647497
0.185347,0.657997
0.188034,0.668497
0.19072,0.680746
0.193406,0.691246
0.196092,0.701746
0.198778,0.406873
0.196092,0.166249
0.193406,0.06825
0.19072,0.03325
0.188034,-0.00875
0.185347,-0.042
0.182661,-0.07
0.179975,-0.08925
0.177289,-0.1085
0.174603,-0.12425
0.171916,-0.13475
0.16923,-0.147
0.166544,-0.1575
0.163858,-0.16625
0.161172,-0.175
0.158485,-0.18025
0.155799,-0.18725
0.153113,-0.1925
0.150427,-0.196
0.147741,-0.20125
0.145054,-0.20475
0.142368,-0.2065
0.139682,-0.21
0.136996,-0.21175
0.13431,-0.217
0.131623,-0.2205
0.128937,-0.224
0.126251,-0.2275
0.123565,-0.22925
0.120879,-0.23275
0.118192,-0.2345
0.115506,-0.2345
0.11282,-0.238
0.110134,-0.23975
0.107448,-0.23975
0.104761,-0.2415
0.102075,-0.24325
0.09939,-0.245
0.096703,-0.2485
0.094017,-0.25025
0.091331,-0.252
0.088645,-0.25375
0.085959,-0.2555
0.083272,-0.25725
0.080586,-0.25725
0.0779,-0.259
0.075214,-0.259
0.072528,-0.259
0.069841,-0.26075
0.067155,-0.26075
0.064469,-0.2625
0.061783,-0.26425
0.059097,-0.266
0.05641,-0.2695
0.053724,-0.2695
0.051038,-0.273
0.048352,-0.27475
0.045665,-0.27475
0.042979,-0.2765
0.040293,-0.2765
0.037607,-0.2765
0.034921,-0.27825
0.032234,-0.28
0.029548,-0.2835
0.026862,-0.28525
0.024176,-0.28525
0.02149,-0.28875
0.018803,-0.28875
0.016117,-0.2905
0.013431,-0.2905
0.010745,-0.2905
0.008059,-0.2905
0.005372,-0.2905
0.002686,-0.2905
